image,author,license,url
aconitum_napellus.jpg,Axel Tschentscher,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Aconitum_napellus_2019-08-31_14-48.jpg
ajuga_reptans_atropurpurea.jpg,"Agnieszka Kwiecień, Nova",CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ajuga_reptans_%27Atropurpurea%27_D%C4%85br%C3%B3wka_roz%C5%82ogowa_2023-05-05_02.jpg
alchemilla_mollis.jpg,Dominicus Johannes Bergsma,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Vrouwenmantel_Alchemilla_mollis._Locatie,_Tuinen_Mien_Ruys_02.jpg"
aruncus_dioicus.jpg,Leif Jørgensen,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Flowers_in_Holmens_Kirkeg%C3%A5rd_19.jpg
astilbe_arendsii_ryhma.jpg,Jens Cederskjold,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Astilbe_Arendsii_-_Jesperhus_-_panoramio.jpg
bergenia_cordifolia.jpg,Wilhelm Zimmerling PAR,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Ruhland,_Grenzstr._3,_Bergenie_am_Eingang_zum_Garten,_Fr%C3%BChling,_01.jpg"
cerastium_tomentosum.jpg,Salicyna,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Cerastium_tomentosum_2023-05-28_6525.jpg
coreopsis_verticillata.jpg,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Coreopsis_verticillata_kz01.jpg
delphinium_elatum_ryhma.jpg,Reinhold Möller Ermell,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Rittersporn_(Delphinium_elatum)_mit_Wassertropfen-20160612-RM-123819.jpg
dicentra_formosa.jpg,Walter Siegmund (talk),CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Dicentra_formosa_6897.JPG
echinacea_purpurea.jpg,Diego Delso,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Echinacea_purpurea,_Jard%C3%ADn_Bot%C3%A1nico,_M%C3%BAnich,_Alemania,_2013-09-08,_DD_01.jpg"
echinops_bannaticus.jpg,JackyM59,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Echinops_bannaticus_(la_boule_azur%C3%A9e).jpg
eryngium_planum.jpg,Salicyna,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Eryngium_planum_Blue_Hobbit_2022-06-29_2505.jpg
euphorbia_epithymoides.jpg,Chrumps,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Euphorbia_epithymoides.jpg
eutrochium_maculatum.jpg,Photo by David J. Stang,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Eupatorium_maculatum_Atropurpureum_1zz.jpg
hemerocallis_hybrida.jpg,Jerzy Opioła,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Hemerocallis_x_hybrida_a1.jpg
hosta_sieboldiana.jpg,Eddie Johnston,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Hosta_sieboldiana_Kew_Gardens_flowers.jpg
hosta_undulata_erromena.jpg,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Hosta_%27Lancifolia%27_kz01.jpg
hylotelephium_herbstfreude.jpg,Ввласенко,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Sedum_Herbstfreude.jpg
iris_sibirica.jpg,T. Kebert,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Iris_sibirica_TK_2021-05-29_6.jpg
lamprocapnos_spectabilis.jpg,Roozitaa,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Lamprocapnos_spectabilis_(1).jpg
liatris_spicata.jpg,Екатерина Борисова,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:%D0%9B%D0%B8%D0%B0%D1%82%D1%80%D0%B8%D1%81_%D0%B2_%D0%93%D0%B0%D1%82%D1%87%D0%B8%D0%BD%D0%B5_02.jpg
ligularia_dentata.jpg,daryl_mitchell (Flickr),CC BY-SA 2.0,https://www.flickr.com/photos/daryl_mitchell/8226439052/
lysimachia_nummularia.jpg,Denis Otkydach,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Lysimachia_nummularia_138484656.jpg
lysimachia_punctata.jpg,Dominicus Johannes Bergsma,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Puntwederik_(Lysimachia_punctata)._Locatie,_Tuinreservaat_Jonkervallei_01.jpg"
matteuccia_struthiopteris.jpg,Diego Delso,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Matteuccia_struthiopteris,_Parque_Adam_Mickiewicz,_Oliwa,_Gdansk,_Polonia,_2013-05-21,_DD_01.jpg"
omphalodes_verna.jpg,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Omphalodes_verna_kz02.jpg
pachysandra_terminalis.jpg,Patrice78500,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Pachysandra_terminalis_-_Fleurs.jpg
paeonia_lactiflora.jpg,Refriedbeans52,CC0,https://commons.wikimedia.org/wiki/File:Paeonia_lactiflora_2025.jpg
petasites_hybridus.jpg,Rosser1954,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:The_Butterburr_or_Petasites_hybridus_at_Dalgarven_Mill,_North_Ayrshire.jpg"
phedimus_kamtschaticus.jpg,Didier Descouens,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:(MHNT)_Phedimus_kamtschaticus_-_inflorescence_and_foliage_-_Les_Martels,_Giroussens_Tarn.jpg"
phedimus_spurius.jpg,Stan Shebs,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Sedum_spurium_Purpurteppich_2.jpg
phlox_paniculata.jpg,Dan Keck from Ohio,CC0,https://commons.wikimedia.org/wiki/File:Phlox_paniculata_-_Early_Pink_Candy_(43480246932).jpg
phlox_subulata.jpg,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Phlox_subulata_%27Candy_Stripes%27_kz01.jpg
rudbeckia_goldsturm.jpg,Dominicus Johannes Bergsma,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Rudbeckia_fulgida_%27Goldsturm%27_(d.j.b.)_01.jpg
solidago_goldsturm_group.jpg,"Harry Rose from South West Rocks, Australia",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Solidago_canadensis_flowerhead1_(16189416842).jpg
