image,title,author,license,url
aconitum_napellus.jpg,"File:Aconitum napellus 2019-08-31 14-48.jpg",,,
ajuga_reptans_atropurpurea.jpg,"File:Ajuga reptans 'Atropurpurea' Dąbrówka rozłogowa 2023-05-05 02.jpg",,,
alchemilla_mollis.jpg,"File:Vrouwenmantel Alchemilla mollis. Locatie, Tuinen Mien Ruys 02.jpg",,,
aruncus_dioicus.jpg,"File:Flowers in Holmens Kirkegård 19.jpg",,,
symphyotrichum_novi_belgii.jpg,"File:Astern IMG 3343.jpg",,,
astilbe_arendsii_ryhma.jpg,"File:Astilbe Arendsii - Jesperhus - panoramio.jpg",,,
bergenia_cordifolia.jpg,"File:Ruhland, Grenzstr. 3, Bergenie am Eingang zum Garten, Frühling, 01.jpg",,,
cerastium_tomentosum.jpg,"File:Cerastium tomentosum 2023-05-28 6525.jpg",,,
coreopsis_verticillata.jpg,"File:Coreopsis verticillata kz01.jpg",,,
delphinium_elatum_ryhma.jpg,"File:Rittersporn (Delphinium elatum) mit Wassertropfen-20160612-RM-123819.jpg",,,
euphorbia_epithymoides.jpg,"File:Euphorbia epithymoides.jpg",,,
echinacea_purpurea.jpg,"File:Echinacea purpurea, Jardín Botánico, Múnich, Alemania, 2013-09-08, DD 01.jpg",,,
echinops_bannaticus.jpg,"File:Echinops bannaticus (la boule azurée).jpg",,,
eryngium_planum.jpg,"File:Eryngium planum Blue Hobbit 2022-06-29 2505.jpg",,,
eutrochium_maculatum.jpg,"File:Eupatorium maculatum Atropurpureum 1zz.jpg",,,
hemerocallis_hybrida.jpg,"File:Hemerocallis x hybrida a1.jpg",,,
hosta_sieboldiana.jpg,"File:Hosta sieboldiana Kew Gardens flowers.jpg",,,
hosta_undulata_erromena.jpg,"File:Hosta 'Lancifolia' kz01.jpg",,,
iris_sibirica.jpg,"File:Iris sibirica TK 2021-05-29 6.jpg",,,
liatris_spicata.jpg,"File:Лиатрис в Гатчине 02.jpg",,,
ligularia_dentata.jpg,,"daryl_mitchell (Flickr)",CC BY-SA 2.0,https://www.flickr.com/photos/daryl_mitchell/8226439052/
lamprocapnos_spectabilis.jpg,"File:Lamprocapnos spectabilis (1).jpg",,,
lysimachia_nummularia.jpg,"File:Lysimachia nummularia 138484656.jpg",,,
lysimachia_punctata.jpg,"File:Puntwederik (Lysimachia punctata). Locatie, Tuinreservaat Jonkervallei 01.jpg",,,
omphalodes_verna.jpg,"File:Omphalodes verna kz02.jpg",,,
paeonia_lactiflora.jpg,"File:Paeonia lactiflora 2025.jpg",,,
pachysandra_terminalis.jpg,"File:Pachysandra terminalis - Fleurs.jpg",,,
petasites_hybridus.jpg,"File:The Butterburr or Petasites hybridus at Dalgarven Mill, North Ayrshire.jpg",,,
phlox_paniculata.jpg,"File:Phlox paniculata - Early Pink Candy (43480246932).jpg",,,
phlox_subulata.jpg,"File:Phlox subulata 'Candy Stripes' kz01.jpg",,,
rudbeckia_goldsturm.jpg,"File:Rudbeckia fulgida 'Goldsturm' (d.j.b.) 01.jpg",,,
hylotelephium_herbstfreude.jpg,"File:Sedum Herbstfreude.jpg",,,
phedimus_kamtschaticus.jpg,"File:(MHNT) Phedimus kamtschaticus - inflorescence and foliage - Les Martels, Giroussens Tarn.jpg",,,
phedimus_spurius.jpg,"File:Sedum spurium Purpurteppich 2.jpg",,,
solidago_goldsturm_group.jpg,"File:Solidago canadensis flowerhead1 (16189416842).jpg",,,
stachys_byzantina.jpg,"File:Stachys byzantina Cantilaga.jpg",,,
trollius_cultorum.jpg,"File:Trollius chinensis 'Golden Queen', opvallende bloem met warme oranjeachtige kleur. Locatie, Tuinreservaat Jonkervallei 03.jpg",,,
waldsteinia_ternata.jpg,"File:Rosaceae Waldsteinia ternata 1.jpg",,,
matteuccia_struthiopteris.jpg,"File:Matteuccia struthiopteris, Parque Adam Mickiewicz, Oliwa, Gdansk, Polonia, 2013-05-21, DD 01.jpg",,,
dicentra_formosa.jpg,"File:Dicentra formosa 6897.JPG",,,
