latin,finnish,russian,image,position
Aconitum napellus,aitoukonhattu,Борец клобучковый,aconitum_napellus.jpg,1
Ajuga reptans 'Atropurpurea',rönsyakankaali,Живучка ползучая,ajuga_reptans_atropurpurea.jpg,3
Alchemilla mollis,jättipoimulehti,Манжетка мягкая,alchemilla_mollis.jpg,4
Aruncus dioicus,isotöyhtöangervo,Волжанка двудомная,aruncus_dioicus.jpg,5
Symphyotrichum novi-belgii,syysasteri,Астра новобельгийская,symphyotrichum_novi_belgii.jpg,6
---
Astilbe Arendsii-Ryhmä,Jaloangervo,Астильба Арендса,astilbe_arendsii_ryhma.jpg,1
Bergenia cordifolia,Herttavuorenkilpi,Бадан сердцелистный,bergenia_cordifolia.jpg,2
Cerastium tomentosum,Hopeahärkki,Ясколка войлочная,cerastium_tomentosum.jpg,3
Coreopsis verticillata,Syyskaunosilmä,Кореопсис мутовчатый,coreopsis_verticillata.jpg,4
Delphinium Elatum-Ryhmä,Jaloritarinkannus,Дельфиниум культурный,delphinium_elatum_ryhma.jpg,5
Euphorbia epithymoides,Kultatyräkki,Молочай многоцветный,euphorbia_epithymoides.jpg,6
---
Echinacea purpurea,Kaunopunahattu,Эхинацея пурпурная,echinacea_purpurea.jpg,1
Echinops bannaticus,Sinipallo-ohdake,Мордовник банатский,echinops_bannaticus.jpg,2
Eryngium planum,Sinipiikkiputki,Синеголовник плосколистный,eryngium_planum.jpg,3
Eutrochium maculatum 'Atropurpureum',Purppuratäpläpunalatvio,Посконник пятнистый,eutrochium_maculatum.jpg,4
Hemerocallis Hybrida-Ryhmä,Tarhapäivänlilja,Лилейник гибридный,hemerocallis_hybrida.jpg,5
Hosta sieboldiana,Sinikuunlilja,Хоста Зибольда,hosta_sieboldiana.jpg,6
---
Hosta undulata 'Erromena',Hämykuunlilja,Хоста,hosta_undulata_erromena.jpg,1
Iris sibirica,Siperiankurjenmiekka,Ирис сибирский,iris_sibirica.jpg,2
Liatris spicata,Noropunatähkä,Лиатрис колосистая,liatris_spicata.jpg,3
Ligularia dentata,Kallionauhus,Бузульник зубчатый,ligularia_dentata.jpg,4
Lamprocapnos spectabilis,Särkynytsydän,Дицентра великолепная,lamprocapnos_spectabilis.jpg,5
Trollius Cultorum-Ryhmä,Tarhakullero,Купальница культурная,trollius_cultorum.jpg,6
---
Lysimachia nummularia,Suikeroalpi,Вербейник монетчатый,lysimachia_nummularia.jpg,1
Lysimachia punctata,Tarha-alpi,Вербейник точечный,lysimachia_punctata.jpg,2
Omphalodes verna,Kevätkaihonkukka,Омфалодес весенний,omphalodes_verna.jpg,3
Paeonia lactiflora,Kiinanpioni,Пион молочноцветковый,paeonia_lactiflora.jpg,4
Pachysandra terminalis,Varjo-yrtti,Пахисандра верхушечная,pachysandra_terminalis.jpg,5
Petasites hybridus,Etelänruttojuuri,Белокопытник гибридный,petasites_hybridus.jpg,6
---
Phlox paniculata,Syysleimu,Флокс метельчатый,phlox_paniculata.jpg,1
Phlox subulata,Sammalleimu,Флокс шиловидный,phlox_subulata.jpg,2
Rudbeckia fulgida var. sullivantii 'Goldsturm',Sädepäivänhattu,Рудбекия блестящая,rudbeckia_goldsturm.jpg,3
Hylotelephium 'Herbstfreude',Komeamaksaruoho,Очиток видный,hylotelephium_herbstfreude.jpg,4
Phedimus kamtschaticus,Kamtsatkanmaksaruoho,Очиток камчатский,phedimus_kamtschaticus.jpg,5
---
Phedimus spurius,Kaukasianmaksaruoho,Очиток ложный,phedimus_spurius.jpg,1
Stachys byzantina,Nukkapähkämö,Чистец шерстистый,stachys_byzantina.jpg,2
Solidago Canadensis-Ryhmä,Tarhapiisku,Золотарник гибридный,solidago_goldsturm_group.jpg,3
Waldsteinia ternata,Rönsyansikka,Вальдштейния тройчатая,waldsteinia_ternata.jpg,4
Matteuccia struthiopteris,Kotkansiipi,Страусник обыкновенный,matteuccia_struthiopteris.jpg,5
Dicentra formosa-Ryhmä,Purppuraoikkusydän,Дицентра прекрасная,dicentra_formosa.jpg,6
